Unnamed: 0,Country,2019_Rank,2019_Score,country_code_x,2019_income_group,2019_total_gdp_million,2019_porcentaje,2020_Rank,2020_Score,2020_income_group,2020_total_gdp_million,2020_porcentaje,2021_Rank,2021_Score,2021_income_group,2021_total_gdp_million,2021_porcentaje,2022_Rank,2022_Score,2022_income_group,2022_total_gdp_million,2022_porcentaje,2023_Rank,2023_Score,2023_income_group,2023_total_gdp_million,2023_porcentaje,2024_Rank,2024_Score,country_code_y,country_code
0,Afghanistan,121.0,63.45,AFG,Países De Ingreso Bajo,18799.4444901128,0.01,122.0,62.3,Países De Ingreso Bajo,19955.9290521496,0.01,122.0,59.81,Países De Ingreso Bajo,14259.995441075898,0.01,156.0,38.27,Países De Ingreso Bajo,14497.2438721337,0.01,152.0,39.75,Países De Ingreso Bajo,17233.0516201117,0.01,178.0,19.09,AFG,AFG
1,Albania,82.0,70.16,ALB,Ingreso Mediano Alto,15585.1051310644,0.01,84.0,69.75,Ingreso Mediano Alto,15241.4587448688,0.01,83.0,69.41,Ingreso Mediano Alto,18032.0105637558,0.01,103.0,56.41,Ingreso Mediano Alto,19017.2425857803,0.01,96.0,57.86,Ingreso Mediano Alto,23547.1798304413,0.01,99.0,54.1,ALB,ALB
2,Algeria,141.0,54.25,DZA,Ingreso Mediano Alto,193459.662090677,0.09,146.0,54.48,Ingreso Mediano Alto,164873.415325201,0.08,146.0,52.74,Ingreso Mediano Alto,186231.205262082,0.08,134.0,45.53,Ingreso Mediano Alto,225638.456572143,0.09,136.0,45.74,Ingreso Mediano Alto,247626.161016414,0.09,139.0,41.98,DZA,DZA
3,Andorra,37.0,75.37,AND,Ingreso Alto,3155.14934780639,0.0,37.0,76.77,Ingreso Alto,2891.0011493611,0.0,39.0,76.68,Ingreso Alto,3324.647529381,0.0,53.0,68.79,Ingreso Alto,3380.61257332922,0.0,37.0,75.05,Ingreso Alto,3785.0673317625,0.0,72.0,61.44,AND,AND
4,Angola,109.0,65.04,AGO,Países De Ingreso Mediano Bajo,70897.96273202769,0.03,106.0,66.08,Países De Ingreso Mediano Bajo,48501.561203568606,0.02,103.0,65.94,Países De Ingreso Mediano Bajo,66505.1299877235,0.03,99.0,57.17,Países De Ingreso Mediano Bajo,104399.746853401,0.04,125.0,48.3,Países De Ingreso Mediano Bajo,84824.6544817249,0.03,104.0,52.44,AGO,AGO
5,Argentina,57.0,71.7,ARG,Ingreso Mediano Alto,447754.68361522496,0.21,64.0,71.22,Ingreso Mediano Alto,385740.508436965,0.18,69.0,71.01,Ingreso Mediano Alto,486564.085480036,0.21,29.0,77.28,Ingreso Mediano Alto,632790.0700631241,0.24,40.0,73.36,Ingreso Mediano Alto,646075.277525125,0.23,66.0,63.13,ARG,ARG
6,Armenia,61.0,71.02,ARM,Ingreso Mediano Alto,13619.2905392116,0.01,61.0,71.4,Ingreso Mediano Alto,12641.6985832152,0.01,63.0,71.17,Ingreso Mediano Alto,13878.9086289378,0.01,51.0,68.97,Ingreso Mediano Alto,19513.5065531251,0.01,48.0,70.61,Ingreso Mediano Alto,24085.7495923359,0.01,43.0,71.6,ARM,ARM
7,Australia,21.0,83.45,AUS,Ingreso Alto,1392723.83456264,0.65,26.0,79.79,Ingreso Alto,1328414.0583783798,0.62,25.0,80.21,Ingreso Alto,1556735.77043726,0.66,39.0,73.77,Ingreso Alto,1690858.24699443,0.65,27.0,78.24,Ingreso Alto,1728057.31669561,0.62,39.0,73.42,AUS,AUS
8,Austria,16.0,84.67,AUT,Ingreso Alto,442983.642371842,0.21,18.0,84.22,Ingreso Alto,434397.601557696,0.2,17.0,83.66,Ingreso Alto,480467.03733878303,0.2,31.0,76.74,Ingreso Alto,471773.62983038096,0.18,29.0,77.3,Ingreso Alto,511685.203845001,0.18,32.0,74.69,AUT,AUT
9,Azerbaijan,166.0,40.87,AZE,Ingreso Mediano Alto,48174.2352941176,0.02,168.0,41.52,Ingreso Mediano Alto,42693.0,0.02,167.0,41.23,Ingreso Mediano Alto,54825.4117647059,0.02,154.0,39.4,Ingreso Mediano Alto,78807.4705882353,0.03,151.0,39.93,Ingreso Mediano Alto,72356.1764705882,0.03,164.0,27.99,AZE,AZE
10,Bahrain,167.0,38.69,BHR,Ingreso Alto,40446.8085106383,0.02,169.0,39.87,Ingreso Alto,35837.6329787234,0.02,168.0,38.9,Ingreso Alto,40840.2127659574,0.02,167.0,30.97,Ingreso Alto,46680.3989361702,0.02,171.0,30.59,Ingreso Alto,46079.8670212766,0.02,173.0,23.21,BHR,BHR
11,Bangladesh,150.0,49.26,BGD,Países De Ingreso Mediano Bajo,351231.654603692,0.16,151.0,50.63,Países De Ingreso Mediano Bajo,373979.442362193,0.18,152.0,50.29,Países De Ingreso Mediano Bajo,416271.647911014,0.18,162.0,36.63,Países De Ingreso Mediano Bajo,460131.688909301,0.18,163.0,35.31,Países De Ingreso Mediano Bajo,437415.331040994,0.16,165.0,27.64,BGD,BGD
12,Belarus,153.0,48.34,BLR,Ingreso Mediano Alto,64410.1228473508,0.03,153.0,50.25,Ingreso Mediano Alto,61371.7553262351,0.03,158.0,49.18,Ingreso Mediano Alto,69673.74713187,0.03,153.0,39.62,Ingreso Mediano Alto,73775.179924603,0.03,157.0,37.17,Ingreso Mediano Alto,71857.38274560659,0.03,167.0,26.8,BLR,BLR
13,Belgium,9.0,87.93,BEL,Ingreso Alto,536726.344405489,0.25,12.0,87.43,Ingreso Alto,529694.473501791,0.25,11.0,88.31,Ingreso Alto,598494.036474409,0.25,23.0,78.86,Ingreso Alto,593438.820508173,0.23,31.0,76.47,Ingreso Alto,644782.756682756,0.23,16.0,81.49,BEL,BEL
