country_code,Country,2020_income_group,2020_total_gdp_million,2020_porcentaje
ABW,Aruba,Ingreso Alto,2481.8571228401,0.0
AFG,Afghanistan,Países De Ingreso Bajo,19955.9290521496,0.01
AGO,Angola,Países De Ingreso Mediano Bajo,48501.561203568606,0.02
ALB,Albania,Ingreso Mediano Alto,15241.4587448688,0.01
AND,Andorra,Ingreso Alto,2891.0011493611,0.0
ARE,United Arab Emirates,Ingreso Alto,349473.015336939,0.16
ARG,Argentina,Ingreso Mediano Alto,385740.508436965,0.18
ARM,Armenia,Ingreso Mediano Alto,12641.6985832152,0.01
ASM,American Samoa,Ingreso Alto,721.0,0.0
ATG,Antigua And Barbuda,Ingreso Alto,1410.7962962963,0.0
AUS,Australia,Ingreso Alto,1328414.0583783798,0.62
AUT,Austria,Ingreso Alto,434397.601557696,0.2
AZE,Azerbaijan,Ingreso Mediano Alto,42693.0,0.02
BDI,Burundi,Países De Ingreso Bajo,2649.68026144299,0.0
BEL,Belgium,Ingreso Alto,529694.473501791,0.25
BEN,Benin,Países De Ingreso Mediano Bajo,15651.5452088783,0.01
BFA,Burkina Faso,Países De Ingreso Bajo,17725.010532526798,0.01
BGD,Bangladesh,Países De Ingreso Mediano Bajo,373979.442362193,0.18
BGR,Bulgaria,Ingreso Alto,70716.82123459669,0.03
BHR,Bahrain,Ingreso Alto,35837.6329787234,0.02
BHS,Bahamas,Ingreso Alto,9958.2,0.0
BIH,Bosnia And Herzegovina,Ingreso Mediano Alto,20226.036564412894,0.01
BLR,Belarus,Ingreso Mediano Alto,61371.7553262351,0.03
BLZ,Belize,Ingreso Mediano Alto,2042.85,0.0
BMU,Bermuda,Ingreso Alto,6887.147,0.0
BOL,Bolivia (Plurinational State Of),Países De Ingreso Mediano Bajo,36629.8438050216,0.02
BRA,Brazil,Ingreso Mediano Alto,1476107.23119411,0.69
BRB,Barbados,Ingreso Alto,5168.34445,0.0
BRN,Brunei Darussalam,Ingreso Alto,12005.7996642691,0.01
BTN,Bhutan,Países De Ingreso Mediano Bajo,2457.6043341591503,0.0
BWA,Botswana,Ingreso Mediano Alto,14960.2911059316,0.01
CAF,Central African Republic,Países De Ingreso Bajo,2326.7209003804696,0.0
CAN,Canada,Ingreso Alto,1655684.73000019,0.78
CHE,Switzerland,Ingreso Alto,741999.406005627,0.35
CHL,Chile,Ingreso Alto,254042.159309311,0.12
CHN,China,Ingreso Mediano Alto,14687744.162801,6.88
CIV,Côte D'Ivoire,Países De Ingreso Mediano Bajo,63027.8528054204,0.03
CMR,Cameroon,Países De Ingreso Mediano Bajo,40773.2411770505,0.02
COD,"Congo, Democratic Republic Of The",Países De Ingreso Bajo,48716.9618601325,0.02
COG,Congo,Países De Ingreso Mediano Bajo,11468.6874640046,0.01
COL,Colombia,Ingreso Mediano Alto,270348.342541465,0.13
COM,Comoros,Países De Ingreso Mediano Bajo,1225.03919661091,0.0
CPV,Cabo Verde,Países De Ingreso Mediano Bajo,1821.5656176945,0.0
CRI,Costa Rica,Ingreso Mediano Alto,62395.6107600492,0.03
CUB,Cuba,Ingreso Mediano Alto,107351.8,0.05
CUW,Curaçao,Ingreso Alto,2534.32759776536,0.0
CYM,Cayman Islands,Ingreso Alto,5655.35802143209,0.0
