Country,2023_income_group,2023_total_gdp_million,2023_porcentaje
Aruba,Ingreso Alto,3648.57313615155,0.0
Afghanistan,Países De Ingreso Bajo,17233.0516201117,0.01
Angola,Países De Ingreso Mediano Bajo,84824.6544817249,0.03
Albania,Ingreso Mediano Alto,23547.1798304413,0.01
Andorra,Ingreso Alto,3785.0673317625,0.0
United Arab Emirates,Ingreso Alto,514130.432653081,0.19
Argentina,Ingreso Mediano Alto,646075.277525125,0.23
Armenia,Ingreso Mediano Alto,24085.7495923359,0.01
American Samoa,Ingreso Alto,0.0,0.0
Antigua And Barbuda,Ingreso Alto,2033.08518518518,0.0
Australia,Ingreso Alto,1728057.31669561,0.62
Austria,Ingreso Alto,511685.203845001,0.18
Azerbaijan,Ingreso Mediano Alto,72356.1764705882,0.03
Burundi,Países De Ingreso Bajo,2642.16166885211,0.0
Belgium,Ingreso Alto,644782.756682756,0.23
Benin,Países De Ingreso Mediano Bajo,19676.0490757011,0.01
Burkina Faso,Países De Ingreso Bajo,20324.6178445265,0.01
Bangladesh,Países De Ingreso Mediano Bajo,437415.331040994,0.16
Bulgaria,Ingreso Alto,102407.653020606,0.04
Bahrain,Ingreso Alto,46079.8670212766,0.02
Bahamas,Ingreso Alto,14338.5,0.01
Bosnia And Herzegovina,Ingreso Mediano Alto,27514.7824760406,0.01
Belarus,Ingreso Mediano Alto,71857.38274560659,0.03
Belize,Ingreso Mediano Alto,3066.85,0.0
Bermuda,Ingreso Alto,8141.7,0.0
Bolivia (Plurinational State Of),Países De Ingreso Mediano Bajo,45135.3980088166,0.02
Brazil,Ingreso Mediano Alto,2173665.65593727,0.78
Barbados,Ingreso Alto,6720.7332,0.0
Brunei Darussalam,Ingreso Alto,15128.2929808638,0.01
Bhutan,Países De Ingreso Mediano Bajo,0.0,0.0
Botswana,Ingreso Mediano Alto,19396.0844980084,0.01
Central African Republic,Países De Ingreso Bajo,2555.49208524831,0.0
Canada,Ingreso Alto,2142470.9144013603,0.77
Switzerland,Ingreso Alto,884940.4022304091,0.32
Chile,Ingreso Alto,335533.331669219,0.12
China,Ingreso Mediano Alto,17794783.039552,6.42
Côte D'Ivoire,Países De Ingreso Mediano Bajo,78875.4892450538,0.03
Cameroon,Países De Ingreso Mediano Bajo,49279.410982826,0.02
"Congo, Democratic Republic Of The",Países De Ingreso Bajo,66383.2870029867,0.02
Congo,Países De Ingreso Mediano Bajo,15321.0558225167,0.01
Colombia,Ingreso Mediano Alto,363493.841244303,0.13
Comoros,Países De Ingreso Mediano Bajo,1352.38097124055,0.0
Cabo Verde,Países De Ingreso Mediano Bajo,2533.8194064916,0.0
Costa Rica,Ingreso Mediano Alto,86497.94143901739,0.03
Cuba,Ingreso Mediano Alto,0.0,0.0
Curaçao,Ingreso Alto,3281.41934737053,0.0
Cayman Islands,Ingreso Alto,7139.42855771423,0.0
Cyprus,Ingreso Alto,33886.9307123394,0.01
Czechia,Ingreso Alto,343207.87455373403,0.12
Germany,Ingreso Alto,4525703.903627531,1.63
Djibouti,Países De Ingreso Mediano Bajo,4098.53051355777,0.0
Dominica,Ingreso Mediano Alto,653.9925925925929,0.0
Denmark,Ingreso Alto,407091.920305404,0.15
Dominican Republic,Ingreso Mediano Alto,121444.279313931,0.04
Algeria,Ingreso Mediano Alto,247626.161016414,0.09
Ecuador,Ingreso Mediano Alto,118844.826,0.04
Egypt,Países De Ingreso Mediano Bajo,396002.49699696,0.14
Eritrea,Países De Ingreso Bajo,0.0,0.0
Spain,Ingreso Alto,1620090.73495689,0.58
Estonia,Ingreso Alto,41291.2452221948,0.01
Ethiopia,Países De Ingreso Bajo,163697.927593982,0.06
Finland,Ingreso Alto,295532.34125490696,0.11
Fiji,Ingreso Mediano Alto,5442.04656504719,0.0
France,Ingreso Alto,3051831.61138476,1.1
Faroe Islands,Ingreso Alto,3907.32396133964,0.0
Micronesia (Federated States Of),Países De Ingreso Mediano Bajo,460.0,0.0
Gabon,Ingreso Mediano Alto,19388.4025416698,0.01
United Kingdom Of Great Britain And Northern Ireland,Ingreso Alto,3380854.52080954,1.22
Georgia,Ingreso Mediano Alto,30777.8335854441,0.01
Ghana,Países De Ingreso Mediano Bajo,76370.39672215401,0.03
Gibraltar,Ingreso Alto,0.0,0.0
Guinea,Países De Ingreso Mediano Bajo,22199.4097412578,0.01
Gambia,Países De Ingreso Bajo,2396.11102164149,0.0
Guinea-Bissau,Países De Ingreso Bajo,2048.34810835852,0.0
Equatorial Guinea,Ingreso Mediano Alto,12337.550583754,0.0
Greece,Ingreso Alto,243498.333237802,0.09
Grenada,Ingreso Mediano Alto,1316.73333333333,0.0
Greenland,Ingreso Alto,0.0,0.0
Guatemala,Ingreso Mediano Alto,104450.210572012,0.04
Guam,Ingreso Alto,0.0,0.0
Guyana,Ingreso Alto,17159.5095654676,0.01
Hong Kong,Ingreso Alto,380812.234827832,0.14
Honduras,Países De Ingreso Mediano Bajo,34400.5098520436,0.01
Croatia,Ingreso Alto,84393.7955024421,0.03
Haiti,Países De Ingreso Mediano Bajo,19850.8297575418,0.01
Hungary,Ingreso Alto,212388.906458724,0.08
Indonesia,Ingreso Mediano Alto,1371171.15233116,0.49
Isle Of Man,Ingreso Alto,0.0,0.0
India,Países De Ingreso Mediano Bajo,3567551.6746230097,1.29
Ireland,Ingreso Alto,551394.889339778,0.2
Iran (Islamic Republic Of),Ingreso Mediano Alto,404625.655204619,0.15
Iraq,Ingreso Mediano Alto,250842.782139464,0.09
Iceland,Ingreso Alto,31325.1165563807,0.01
Israel,Ingreso Alto,513611.100815691,0.19
Italy,Ingreso Alto,2300941.15299181,0.83
Jamaica,Ingreso Mediano Alto,19423.3554092316,0.01
Jordan,Países De Ingreso Mediano Bajo,50967.4753521127,0.02
Japan,Ingreso Alto,4204494.80243155,1.52
Kazakhstan,Ingreso Mediano Alto,262641.892078524,0.09
Kenya,Países De Ingreso Mediano Bajo,108038.588970595,0.04
Kyrgyzstan,Países De Ingreso Mediano Bajo,13987.6279088381,0.01
Cambodia,Países De Ingreso Mediano Bajo,42335.6468957984,0.02
Kiribati,Países De Ingreso Mediano Bajo,279.208903337644,0.0
Saint Kitts And Nevis,Ingreso Alto,1055.49977777778,0.0
"Korea, Republic Of",Ingreso Alto,1712792.8542023702,0.62
Kuwait,Ingreso Alto,163704.87887585,0.06
Lao People'S Democratic Republic,Países De Ingreso Mediano Bajo,15843.1557312552,0.01
Lebanon,Países De Ingreso Mediano Bajo,0.0,0.0
Liberia,Países De Ingreso Bajo,4240.0,0.0
Libya,Ingreso Mediano Alto,45096.4629724014,0.02
Saint Lucia,Ingreso Mediano Alto,2430.14814814815,0.0
Liechtenstein,Ingreso Alto,0.0,0.0
Sri Lanka,Países De Ingreso Mediano Bajo,84356.8637436335,0.03
Lesotho,Países De Ingreso Mediano Bajo,2117.96245079469,0.0
Lithuania,Ingreso Alto,79789.8774161681,0.03
Luxembourg,Ingreso Alto,85755.00612359759,0.03
Latvia,Ingreso Alto,42247.850064512495,0.02
Macao,Ingreso Alto,45803.06794040721,0.02
Saint Martin (French Part),Ingreso Alto,0.0,0.0
Morocco,Países De Ingreso Mediano Bajo,144417.103249646,0.05
Monaco,Ingreso Alto,9995.35054712166,0.0
"Moldova, Republic Of",Ingreso Mediano Alto,16539.436547295,0.01
Madagascar,Países De Ingreso Bajo,15790.1132467478,0.01
Maldives,Ingreso Mediano Alto,6590.8943019579,0.0
Mexico,Ingreso Mediano Alto,1789114.43484346,0.65
Marshall Islands,Ingreso Mediano Alto,259.3,0.0
North Macedonia,Ingreso Mediano Alto,15763.621848115,0.01
Mali,Países De Ingreso Bajo,20661.7945960873,0.01
Malta,Ingreso Alto,22328.640241555306,0.01
Myanmar,Países De Ingreso Mediano Bajo,66757.619,0.02
Montenegro,Ingreso Mediano Alto,7530.59337522034,0.0
Mongolia,Ingreso Mediano Alto,20325.1213939074,0.01
Northern Mariana Islands,Ingreso Alto,0.0,0.0
Mozambique,Países De Ingreso Bajo,20954.220983547297,0.01
Mauritania,Países De Ingreso Mediano Bajo,10651.7094114594,0.0
Mauritius,Ingreso Mediano Alto,14644.5248190054,0.01
Malawi,Países De Ingreso Bajo,12712.1500820792,0.0
Malaysia,Ingreso Mediano Alto,399705.169318477,0.14
Namibia,Ingreso Mediano Alto,12351.0250669131,0.0
New Caledonia,Ingreso Alto,0.0,0.0
Niger,Países De Ingreso Bajo,16819.1704205653,0.01
Nigeria,Países De Ingreso Mediano Bajo,363846.332834618,0.13
Nicaragua,Países De Ingreso Mediano Bajo,17829.2182193591,0.01
Netherlands,Ingreso Alto,1154361.30539806,0.42
Norway,Ingreso Alto,485310.823603662,0.18
Nepal,Países De Ingreso Mediano Bajo,40908.0733668455,0.01
Nauru,Ingreso Alto,154.170289321861,0.0
New Zealand,Ingreso Alto,252175.506110168,0.09
Oman,Ingreso Alto,108810.923276983,0.04
Pakistan,Países De Ingreso Mediano Bajo,337912.301397727,0.12
Panama,Ingreso Alto,83318.1769,0.03
Peru,Ingreso Mediano Alto,267603.248655253,0.1
