country_code,Country,2019_income_group,2019_total_gdp_million,2019_porcentaje,Country,2020_income_group,2020_total_gdp_million,2020_porcentaje,Country,2021_income_group,2021_total_gdp_million,2021_porcentaje,Country,2022_income_group,2022_total_gdp_million,2022_porcentaje,Country,2023_income_group,2023_total_gdp_million,2023_porcentaje
ABW,Aruba,Ingreso Alto,3395.79888268156,0.0,Aruba,Ingreso Alto,2481.8571228401,0.0,Aruba,Ingreso Alto,2929.44657825104,0.0,Aruba,Ingreso Alto,3279.34354360416,0.0,Aruba,Ingreso Alto,3648.57313615155,0.0
AFG,Afghanistan,Países De Ingreso Bajo,18799.4444901128,0.01,Afghanistan,Países De Ingreso Bajo,19955.9290521496,0.01,Afghanistan,Países De Ingreso Bajo,14259.995441075898,0.01,Afghanistan,Países De Ingreso Bajo,14497.2438721337,0.01,Afghanistan,Países De Ingreso Bajo,17233.0516201117,0.01
AGO,Angola,Países De Ingreso Mediano Bajo,70897.96273202769,0.03,Angola,Países De Ingreso Mediano Bajo,48501.561203568606,0.02,Angola,Países De Ingreso Mediano Bajo,66505.1299877235,0.03,Angola,Países De Ingreso Mediano Bajo,104399.746853401,0.04,Angola,Países De Ingreso Mediano Bajo,84824.6544817249,0.03
ALB,Albania,Ingreso Mediano Alto,15585.1051310644,0.01,Albania,Ingreso Mediano Alto,15241.4587448688,0.01,Albania,Ingreso Mediano Alto,18032.0105637558,0.01,Albania,Ingreso Mediano Alto,19017.2425857803,0.01,Albania,Ingreso Mediano Alto,23547.1798304413,0.01
AND,Andorra,Ingreso Alto,3155.14934780639,0.0,Andorra,Ingreso Alto,2891.0011493611,0.0,Andorra,Ingreso Alto,3324.647529381,0.0,Andorra,Ingreso Alto,3380.61257332922,0.0,Andorra,Ingreso Alto,3785.0673317625,0.0
ARE,United Arab Emirates,Ingreso Alto,417989.721734494,0.19,United Arab Emirates,Ingreso Alto,349473.015336939,0.16,United Arab Emirates,Ingreso Alto,415178.792769884,0.18,United Arab Emirates,Ingreso Alto,502731.935197487,0.19,United Arab Emirates,Ingreso Alto,514130.432653081,0.19
ARG,Argentina,Ingreso Mediano Alto,447754.68361522496,0.21,Argentina,Ingreso Mediano Alto,385740.508436965,0.18,Argentina,Ingreso Mediano Alto,486564.085480036,0.21,Argentina,Ingreso Mediano Alto,632790.0700631241,0.24,Argentina,Ingreso Mediano Alto,646075.277525125,0.23
ARM,Armenia,Ingreso Mediano Alto,13619.2905392116,0.01,Armenia,Ingreso Mediano Alto,12641.6985832152,0.01,Armenia,Ingreso Mediano Alto,13878.9086289378,0.01,Armenia,Ingreso Mediano Alto,19513.5065531251,0.01,Armenia,Ingreso Mediano Alto,24085.7495923359,0.01
ASM,American Samoa,Ingreso Alto,647.0,0.0,American Samoa,Ingreso Alto,721.0,0.0,American Samoa,Ingreso Alto,750.0,0.0,American Samoa,Ingreso Alto,871.0,0.0,American Samoa,Ingreso Alto,0.0,0.0
ATG,Antigua And Barbuda,Ingreso Alto,1725.35185185185,0.0,Antigua And Barbuda,Ingreso Alto,1410.7962962963,0.0,Antigua And Barbuda,Ingreso Alto,1601.36666666667,0.0,Antigua And Barbuda,Ingreso Alto,1867.73333333333,0.0,Antigua And Barbuda,Ingreso Alto,2033.08518518518,0.0
