2020_country_code,2020_porcentaje,2020_Score,ingreso_norm,prensa_norm,indice_combinado
AFG,0.01,62.3,0.0014534883720930232,0.3829186971018209,0.19218609273695697
ALB,0.01,69.75,0.0014534883720930232,0.2873813798409848,0.1444174341065389
DZA,0.08,54.48,0.011627906976744186,0.4832008207232623,0.24741436385000326
AND,0.0,76.77,0.0,0.19735829699923046,0.09867914849961523
AGO,0.02,66.08,0.0029069767441860465,0.33444472941779935,0.1686758530809927
ARG,0.18,71.22,0.026162790697674417,0.2685303924083098,0.1473465915529921
ARM,0.01,71.4,0.0014534883720930232,0.26622210823288006,0.13383779830248654
AUS,0.62,79.79,0.09011627906976745,0.1586304180559115,0.12437334856283946
AUT,0.2,84.22,0.029069767441860468,0.10182097973839443,0.06544537359012745
AZE,0.02,41.52,0.0029069767441860465,0.6493972813541933,0.32615212904918967
BHR,0.02,39.87,0.0029069767441860465,0.670556552962298,0.336731764853242
BGD,0.18,50.63,0.026162790697674417,0.5325724544755064,0.2793676225865904
BLR,0.03,50.25,0.00436046511627907,0.5374454988458579,0.2709029819810685
BEL,0.25,87.43,0.036337209302325583,0.060656578609899814,0.0484968939561127
BLZ,0.0,72.5,0.0,0.2521159271608103,0.12605796358040516
BEN,0.01,64.89,0.0014534883720930232,0.3497050525775839,0.17557927047483846
BTN,0.0,71.1,0.0,0.2700692485252628,0.1350346242626314
,,64.63,,0.35303924083098226,
,,71.49,,0.26506796614516537,
BWA,0.01,76.44,0.0014534883720930232,0.20159015132085145,0.10152181984647224
BRA,0.69,65.95,0.1002906976744186,0.3361118235444984,0.21820126060945852
,,50.35,,0.536163118748397,
BGR,0.03,64.94,0.00436046511627907,0.34906386252885346,0.17671216382256627
BFA,0.01,76.53,0.0014534883720930232,0.20043600923313654,0.10094474880261478
BDI,0.0,44.67,0.0,0.6090023082841753,0.30450115414208767
KHM,0.02,54.54,0.0029069767441860465,0.48243139266478574,0.2426691847044859
CMR,0.02,56.72,0.0029069767441860465,0.45447550654013846,0.22869124164216226
CAN,0.78,84.71,0.11337209302325582,0.09553731726083603,0.10445470514204593
,,79.85,,0.15786098999743525,
CAF,0.0,57.13,0.0,0.4492177481405487,0.22460887407027436
TCD,0.01,60.3,0.0014534883720930232,0.4085662990510387,0.20500989371156586
CHL,0.12,72.69,0.01744186046511628,0.24967940497563468,0.13356063272037547
CHN,6.88,21.52,1.0,0.9058733008463709,0.9529366504231854
